Symbol,Company Name,Industry,Market Cap
CTIB,Yunhong CTI,Household Durables,9.07M
CTIC,CTI BioPharma,Biotechnology,158.58M
CTK,CooTek (Cayman),Software,45.11M
CTKB,Cytek Biosciences,Medical Devices,2.56B
CTLP,Cantaloupe,Information Technology Services,640.13M
CTLT,Catalent,Pharmaceuticals,21.79B
CTMX,CytomX Therapeutics,Biotechnology,437.17M
CTO,CTO Realty Growth,Real Estate Management &amp; Development,324.82M
CTOS,Custom Truck One Source,Trading Companies &amp; Distributors,1.81B
CTRA,Coterra Energy,Oil &amp; Gas E&amp;P,16.34B
CTRE,CareTrust REIT,"Equity Real Estate 
Investment Trusts...",1.94B
CTRM,Castor Maritime,Marine,166.51M
CTRN,Citi Trends,Specialty Retail,718.24M
CTS,CTS Corporation,"Electronic Equipment, Instruments &amp; C...",1.13B
CTSH,Cognizant Technology Solutions,IT Services,40.37B
CTSO,CytoSorbents,Health Care Equipment &amp; Supplies,206.51M
CTT,CatchMark Timber Trust,"Equity Real Estate 
Investment Trusts...",370.57M
CTV,Innovid,Shell Companies,795.69M
CTVA,Corteva,Chemicals,32.55B
CTXR,Citius Pharmaceuticals,Pharmaceuticals,233.57M
CTXS,Citrix Systems,Software,9.82B
CUBE,CubeSmart,"Equity Real Estate 
Investment Trusts...",11.62B
CUBI,Customers Bancorp,Banks,1.84B
CUE,Cue Biopharma,Biotechnology,363.34M
CUEN,Cuentas,Diversified Telecommunication Services,27.69M
CUK,Carnival,"Hotels, Restaurants &amp; Leisure",17.72B
CULL,Cullman Bancorp,Banks,91.83M
CULP,"Culp, Inc.","Textiles, Apparel &amp; Luxury Goods",133.50M
CURI,CuriosityStream,Broadcasting,354.13M
CURO,CURO Group Holdings,Consumer Finance,659.78M
CURV,Torrid Holdings,Apparel Retail,1.64B
CUTR,Cutera,Health Care Equipment &amp; Supplies,624.89M
CUZ,Cousins Properties,"Equity Real Estate 
Investment Trusts...",5.57B
CVAC,CureVac,Biotechnology,8.15B
CVBF,CVB Financial,Banks,2.61B
CVCO,Cavco Industries,Household Durables,2.78B
CVCY,Central Valley Community Bancorp,Banks,251.75M
CVE,Cenovus Energy,"Oil, Gas &amp; Consumable Fuels",23.86B
CVEO,Civeo,Commercial Services &amp; Supplies,295.83M
CVET,Covetrus,Health Care Providers &amp; Services,2.33B
CVGI,Commercial Vehicle Group,Machinery,272.73M
CVGW,Calavo Growers,Food Products,716.88M
CVI,CVR Energy,"Oil, Gas &amp; Consumable Fuels",1.56B
CVII,Churchill Capital VII,Blank Check / SPAC,1.69B
CVLG,Covenant Logistics Group,Road &amp; Rail,408.91M
CVLT,Commvault Systems,Software,2.83B
CVLY,Codorus Valley Bancorp,Banks,205.18M
CVM,Cel-Sci,Biotechnology,404.03M
CVNA,Carvana Co.,Specialty Retail,47.34B
CVR,Chicago Rivet &amp; Machine Co.,Machinery,25.02M
CVRX,"CVRx, Inc.",Medical Devices,229.16M
CVS,CVS Health,Health Care Providers &amp; Services,117.56B
CVU,CPI Aerostructures,Aerospace &amp; Defense,32.63M
CVV,CVD Equipment,Semiconductors &amp; Semiconductor Equipment,29.89M
CVX,Chevron,"Oil, Gas &amp; Consumable Fuels",216.09B
CW,Curtiss-Wright,Aerospace &amp; Defense,4.86B
CWAN,Clearwater Analytics Holdings,Software-Application,3.77B
CWBC,Community West Bancshares,Banks,112.01M
CWBR,CohBar,Biotechnology,40.06M
CWCO,Consolidated Water Co.,Water Utilities,160.02M
CWEN,Clearway Energy,Independent Power and Renewable Elect...,4.25B
CWEN.A,Clearway Energy,Independent Power and Renewable Elect...,4.25B
CWH,Camping World Holdings,Specialty Retail,1.88B
CWK,Cushman &amp; Wakefield,Real Estate Management &amp; Development,4.02B
CWST,Casella Waste Systems,Commercial Services &amp; Supplies,4.31B
CWT,California Water Service Group,Water Utilities,3.35B
CX,CEMEX,Construction Materials,9.04B
CXDO,Crexendo,IT Services,108.64M
CXM,Sprinklr,Software-Application,3.31B
CXP,Columbia Property Trust,"Equity Real Estate 
Investment Trusts...",2.21B
CXW,CoreCivic,"Equity Real Estate 
Investment Trusts...",1.25B
CYAD,Celyad Oncology,Biotechnology,59.97M
CYAN,Cyanotech,Personal Products,20.94M
CYBE,CyberOptics,Semiconductors &amp; Semiconductor Equipment,324.23M
CYBN,Cybin,Biotechnology,230.16M
CYBR,CyberArk Software,Software,6.68B
CYCC,Cyclacel Pharmaceuticals,Biotechnology,34.91M
CYCN,Cyclerion Therapeutics,Biotechnology,82.30M
CYD,China Yuchai International,Machinery,486.21M
CYH,Community Health Systems,Health Care Providers &amp; Services,1.51B
CYN,Cyngn,Banks,143.27M
CYRN,Cyren,Software,32.85M
CYRX,CryoPort,Health Care Equipment &amp; Supplies,3.07B
CYT,Cyteir Therapeutics,Biotechnology,518.54M
CYTH,Cyclo Therapeutics,Drug Manufacturers-Specialty &amp; Generic,40.35M
CYTK,Cytokinetics,Biotechnology,3.10B
CYTO,Altamira Therapeutics,Biotechnology,22.46M
CYXT,Cyxtera Technologies,Information Technology Services,1.66B
CZNC,Citizens &amp; Northern,Banks,392.99M
CZOO,Cazoo Group,Software-Application,5.87B
CZR,Caesars Entertainment,"Hotels, Restaurants &amp; Leisure",17.76B
CZWI,Citizens Community Bancorp,Banks,142.52M
D,Dominion Energy,Multi-Utilities,57.38B
DAC,Danaos,Marine,1.35B
DADA,Dada Nexus,Internet &amp; Direct Marketing Retail,4.18B
DAIO,Data I/O,"Electronic Equipment, Instruments &amp; C...",38.45M
DAKT,Daktronics,"Electronic Equipment, Instruments &amp; C...",212.73M
DAL,Delta Air Lines,Airlines,21.46B
DALN,DallasNews,Media,34.26M
DALS,DA32 Life Science Tech Acquisition,Blank Check / SPAC,252.40M
DAN,Dana Incorporated,Auto Components,3.10B
DAO,Youdao,Diversified Consumer Services,1.71B
DAR,Darling Ingredients,Food Products,10.53B
DARE,Dare Bioscience,Health Care Equipment &amp; Supplies,130.22M
DASH,DoorDash,Internet &amp; Direct Marketing Retail,55.44B
DATS,DatChat,Software-Application,71.92M
DAVA,Endava,IT Services,9.43B
DAWN,Day One Biopharmaceuticals,Biotechnology,1.02B
DB,Deutsche Bank AG,Capital Markets,25.22B
DBD,Diebold Nixdorf,"Technology Hardware, Storage &amp; Periph...",623.71M
DBDR,Roman DBDR Tech Acquisition,Blank Check / SPAC,294.23M
DBGI,Digital Brands Group,Apparel Retail,31.89M
DBI,Designer Brands,Specialty Retail,962.86M
DBRG,DigitalBridge Group,REIT-Diversified,4.35B
DBTX,Decibel Therapeutics,Biotechnology,155.77M
DBVT,DBV Technologies,Biotechnology,315.18M
DBX,Dropbox,Software,9.07B
DCBO,Docebo,Software-Application,2.18B
DCGO,DocGo,Shell Companies,118.59M
DCI,Donaldson Company,Machinery,6.84B
DCO,Ducommun,Aerospace &amp; Defense,506.26M
DCOM,Dime Community Bancshares,Thrifts &amp; Mortgage Finance,1.37B
DCP,DCP Midstream LP,"Oil, Gas &amp; Consumable Fuels",5.32B
DCPH,Deciphera Pharmaceuticals,Biotechnology,467.85M
DCRC,Decarbonization Plus Acquisition III,Blank Check / SPAC,507.50M
DCRD,Decarbonization Plus Acquisition IV,Blank Check / SPAC,390.96M
DCRN,Decarbonization Plus Acquisition II,Blank Check / SPAC,504.13M
DCT,Duck Creek Technologies,Software,3.66B
DCTH,Delcath Systems,Medical Devices,71.43M
DD,DuPont de Nemours,Chemicals,38.23B
DDD,3D Systems,"Technology Hardware, Storage &amp; Periph...",2.72B
DDI,DoubleDown Interactive Co.,Electronic Gaming &amp; Multimedia,777.00M
DDL,Dingdong (Cayman),Grocery Stores,4.76B
DDOG,Datadog,Software,51.34B
DDS,Dillard's,Multiline Retail,5.61B
DE,Deere &amp; Company,Machinery,105.90B
DEA,Easterly Government Properties,"Equity Real Estate 
Investment Trusts...",1.79B
DECK,Deckers Outdoor,"Textiles, Apparel &amp; Luxury Goods",10.91B
DEI,Douglas Emmett,"Equity Real Estate 
Investment Trusts...",5.56B
DELL,Dell Technologies,"Technology Hardware, Storage &amp; Periph...",42.62B
DEN,Denbury,"Oil, Gas &amp; Consumable Fuels",3.80B
DENN,Denny's,"Hotels, Restaurants &amp; Leisure",846.84M
DEO,Diageo,Beverages,116.99B
DERM,Journey Medical,Pharmaceuticals,129.72M
DESP,Despegar.com,Internet &amp; Direct Marketing Retail,590.24M
DFFN,Diffusion Pharmaceuticals,Biotechnology,37.00M
DFH,Dream Finders Homes,Residential Construction,1.60B
DFIN,Donnelley Financial Solutions,Capital Markets,1.50B
DFS,Discover Financial Services,Consumer Finance,31.10B
DG,Dollar General,Multiline Retail,51.98B
DGICA,Donegal Group,Insurance,419.28M
DGICB,Donegal Group,Insurance,421.45M
DGII,Digi International,Communications Equipment,755.19M
DGLY,Digital Ally,"Electronic Equipment, Instruments &amp; C...",57.45M
DGNS,Dragoneer Growth Opportunities II,Blank Check / SPAC,351.46M
DGNU,Dragoneer Growth Opportunities III,Blank Check / SPAC,537.81M
DGX,Quest Diagnostics,Health Care Providers &amp; Services,18.55B
DH,Definitive Healthcare,Health Information Services,2.84B
DHBC,DHB Capital,Blank Check / SPAC,352.85M
DHC,Diversified Healthcare Trust,"Equity Real Estate 
Investment Trusts...",623.78M
DHCA,DHC Acquisition,Blank Check / SPAC,379.08M
DHHC,DiamondHead Holdings,Blank Check / SPAC,421.76M
DHI,D.R. Horton,Household Durables,34.85B
DHIL,Diamond Hill Investment Group,Capital Markets,605.92M
DHR,Danaher,Health Care Equipment &amp; Supplies,228.46B
DHT,DHT Holdings,"Oil, Gas &amp; Consumable Fuels",866.78M
DHX,DHI Group,Interactive Media &amp; Services,253.66M
DIBS,1stdibs.com,Internet Retail,480.27M
DICE,DICE Therapeutics,Biotechnology,1.19B
DIDI,DiDi Global,Software-Application,37.67B
DILA,DILA Capital Acquisition,Blank Check / SPAC,73.98M
DIN,Dine Brands Global,"Hotels, Restaurants &amp; Leisure",1.21B
DIOD,Diodes,Semiconductors &amp; Semiconductor Equipment,4.81B
DIS,The Walt Disney Company,Entertainment,258.38B
DISA,Disruptive Acquisition I,Blank Check / SPAC,336.53M
DISCA,Discovery,Media,11.16B
DISCB,Discovery,Media,11.66B
DISCK,Discovery,Media,11.20B
DISH,DISH Network,Media,16.52B
DIT,AMCON Distributing Company,Distributors,99.07M
DJCO,Daily Journal,Media,486.71M
DK,Delek US Holdings,"Oil, Gas &amp; Consumable Fuels",1.18B
DKDCA,Data Knights Acquisition,Blank Check / SPAC,150.65M
DKL,Delek Logistics Partners LP,"Oil, Gas &amp; Consumable Fuels",1.85B
DKNG,DraftKings,"Hotels, Restaurants &amp; Leisure",12.70B
DKS,Dick's Sporting Goods,Specialty Retail,9.92B
DLA,Delta Apparel,"Textiles, Apparel &amp; Luxury Goods",209.80M
DLB,Dolby Laboratories,"Electronic Equipment, Instruments &amp; C...",8.44B
DLCA,Deep Lake Capital Acquisition,Blank Check / SPAC,252.54M
DLHC,DLH Holdings,Professional Services,162.83M
DLNG,Dynagas LNG Partners,"Oil, Gas &amp; Consumable Fuels",113.35M
DLO,DLocal,Software-Infrastructure,9.56B
DLPN,Dolphin Entertainment,Entertainment,64.17M
DLR,Digital Realty Trust,"Equity Real Estate 
Investment Trusts...",46.21B
DLTH,Duluth Holdings,Internet &amp; Direct Marketing Retail,449.24M
DLTR,Dollar Tree,Multiline Retail,29.83B
DLX,Deluxe,Commercial Services &amp; Supplies,1.44B
DM,Desktop Metal,Computer Hardware,1.84B
DMAC,DiaMedica Therapeutics,Biotechnology,97.83M
DMLP,Dorchester Minerals,"Oil, Gas &amp; Consumable Fuels",614.98M
DMRC,Digimarc,Software,726.20M
DMS,Digital Media Solutions,Advertising Agencies,257.47M
DMTK,DermTech,Biotechnology,546.80M
DMYQ,"dMY Technology Group, Inc. IV",Shell Companies,442.46M
DMYS,"dMY Technology Group, Inc. VI",Blank Check / SPAC,254.00M
DNA,Ginkgo Bioworks Holdings,Biotechnology,16.93B
DNAA,Social Capital Suvretta Holdings I,Blank Check / SPAC,316.35M
DNAB,Social Capital Suvretta Holdings II,Blank Check / SPAC,316.03M
DNAC,Social Capital Suvretta Holdings III,Blank Check / SPAC,316.67M
DNAD,Social Capital Suvretta Holdings IV,Blank Check / SPAC,315.39M
DNAY,Codex DNA,Medical Devices,196.94M
DNB,Dun &amp; Bradstreet Holdings,Professional Services,8.02B
DNLI,Denali Therapeutics,Biotechnology,5.42B
DNMR,Danimer Scientific,Specialty Chemicals,1.16B
DNN,Denison Mines,"Oil, Gas &amp; Consumable Fuels",1.21B
DNOW,NOW Inc.,Trading Companies &amp; Distributors,895.53M
DNUT,Krispy Kreme,Grocery Stores,2.21B
DNZ,D &amp; Z Media Acquisition,Blank Check / SPAC,350.03M
DOC,Physicians Realty Trust,"Equity Real Estate 
Investment Trusts...",3.86B
DOCN,DigitalOcean Holdings,Software-Infrastructure,9.29B
DOCS,Doximity,Health Information Services,12.14B
DOCU,DocuSign,Software,45.40B
DOGZ,Dogness (International),"Textiles, Apparel &amp; Luxury Goods",138.66M
DOLE,Dole plc,Farm Products,1.20B
DOMA,Doma Holdings,Shell Companies,1.87B
DOMO,"Domo, Inc.",Software,2.07B
DOOO,BRP Inc.,Leisure Products,6.20B
DOOR,Masonite International,Building Products,2.54B
DORM,Dorman Products,Auto Components,3.53B
DOV,Dover,Machinery,23.59B
DOW,Dow Inc.,Chemicals,39.02B
DOX,Amdocs,IT Services,8.65B
DOYU,DouYu International Holdings,Entertainment,827.25M
DPRO,Draganfly,Aerospace &amp; Defense,87.28M
DPW,Ault Global Holdings,Electrical Equipment,132.72M
DPZ,Domino's Pizza,"Hotels, Restaurants &amp; Leisure",18.60B
DQ,Daqo New Energy,Semiconductors &amp; Semiconductor Equipment,4.00B
DRAY,Macondray Capital Acquisition I,Blank Check / SPAC,353.98M
DRD,DRDGOLD,Metals &amp; Mining,750.79M
DRE,Duke Realty,"Equity Real Estate 
Investment Trusts...",22.30B
DRH,DiamondRock Hospitality Company,"Equity Real Estate 
Investment Trusts...",1.72B
DRI,Darden Restaurants,"Hotels, Restaurants &amp; Leisure",17.74B
DRIO,DarioHealth,Health Care Equipment &amp; Supplies,246.48M
DRMA,Dermata Therapeutics,Biotechnology,20.41M
DRNA,Dicerna Pharmaceuticals,Biotechnology,2.97B
DRQ,Dril-Quip,Energy Equipment &amp; Services,659.59M
DRRX,DURECT,Pharmaceuticals,213.88M
DRTT,DIRTT Environmental Solutions,Building Products,211.63M
DRUG,Bright Minds Biosciences,Biotechnology,45.99M
DRVN,Driven Brands Holdings,Auto &amp; Truck Dealerships,5.12B
DS,Drive Shack,"Hotels, Restaurants &amp; Leisure",147.35M
DSAC,Duddell Street Acquisition,Blank Check / SPAC,216.78M
DSAQ,Direct Selling Acquisition,Blank Check / SPAC,286.35M
DSEY,Diversey Holdings,Personal Services,4.11B
DSGN,Design Therapeutics,Biotechnology,897.84M
DSGX,The Descartes Systems Group,Software,6.82B
DSKE,Daseke,Road &amp; Rail,595.52M
DSP,Viant Technology,Software-Application,126.87M
DSPG,DSP Group,Semiconductors &amp; Semiconductor Equipment,533.31M
DSS,"DSS, Inc.",Commercial Services &amp; Supplies,60.25M
DSWL,Deswell Industries,"Electronic Equipment, Instruments &amp; C...",74.53M
DSX,Diana Shipping,Marine,358.82M
DT,Dynatrace,Software,16.59B
DTC,Solo Brands,Internet Retail,1.06B
DTE,DTE Energy Company,Multi-Utilities,21.15B
DTEA,DAVIDsTEA,Specialty Retail,94.90M
DTIL,Precision BioSciences,Biotechnology,523.81M
DTM,DT Midstream,Oil &amp; Gas Midstream,4.40B
DTOC,Digital Transformation Opportunities,Blank Check / SPAC,406.45M
DTRT,DTRT Health Acquisition,Blank Check / SPAC,249.00M
DTSS,Datasea,Software,36.95M
DTST,Data Storage,Information Technology Services,23.02M
DUK,Duke Energy,Electric Utilities,74.33B
DUNE,Dune Acquisition,Blank Check / SPAC,213.68M
DUO,Fangdd Network Group,Interactive Media &amp; Services,54.93M
DUOL,Duolingo,Software-Application,3.90B
DUOT,Duos Technologies Group,Software,17.04M
DV,DoubleVerify Holdings,Software-Application,4.76B
DVA,DaVita,Health Care Providers &amp; Services,9.66B
DVAX,Dynavax Technologies,Biotechnology,1.81B
DVD,Dover Motorsports,"Hotels, Restaurants &amp; Leisure",131.12M
DVN,Devon Energy,"Oil, Gas &amp; Consumable Fuels",27.65B
DWAC,Digital World Acquisition,Blank Check / SPAC,1.65B
DWIN,Delwinds Insurance Acquisition,Blank Check / SPAC,255.05M
DWSN,Dawson Geophysical Company,Energy Equipment &amp; Services,54.85M
DX,Dynex Capital,"Mortgage Real Estate Investment 
Trus...",603.52M
DXC,DXC Technology Company,IT Services,7.46B
DXCM,DexCom,Health Care Equipment &amp; Supplies,54.53B
DXF,Dunxin Financial Holdings,Diversified Financial Services,22.13M
DXLG,Destination XL Group,Specialty Retail,429.49M
DXPE,DXP Enterprises,Trading Companies &amp; Distributors,486.74M
DXR,Daxor,Health Care Equipment &amp; Supplies,44.68M
DXYN,The Dixie Group,Household Durables,93.52M
DY,Dycom Industries,Construction &amp; Engineering,2.76B
DYAI,Dyadic International,Biotechnology,94.35M
DYN,Dyne Therapeutics,Independent Power and Renewable Elect...,652.09M
DYNS,Dynamics Special Purpose,Blank Check / SPAC,290.82M
DYNT,Dynatronics,Health Care Equipment &amp; Supplies,18.09M
DZSI,"DZS, Inc.",Communications Equipment,353.83M
E,Eni SpA,"Oil, Gas &amp; Consumable Fuels",46.79B
EA,Electronic Arts,Entertainment,34.00B
EAC,Edify Acquisition,Blank Check / SPAC,336.38M
EAF,GrafTech International,Electrical Equipment,3.00B
EAR,Eargo,Medical Devices,188.85M
EARN,Ellington Residential Mortgage REIT,"Mortgage Real Estate Investment 
Trus...",136.86M
EAST,Eastside Distilling,Beverages,27.33M
EAT,Brinker International,"Hotels, Restaurants &amp; Leisure",1.53B
EB,Eventbrite,Interactive Media &amp; Services,1.29B
EBAC,European Biotech Acquisition,Blank Check / SPAC,159.56M
EBAY,eBay Inc.,Internet &amp; Direct Marketing Retail,41.82B
EBC,Eastern Bankshares,Banks,3.66B
EBET,Esports Technologies,Gambling,325.89M
EBF,Ennis,Commercial Services &amp; Supplies,493.96M
EBIX,"Ebix, Inc.",Software,940.68M
EBMT,Eagle Bancorp Montana,Banks,150.85M
EBON,Ebang International Holdings,Computer Hardware,267.60M
EBR,Centrais Eletricas Brasileiras,Electric Utilities,9.12B
EBS,Emergent BioSolutions,Biotechnology,2.35B
EBTC,Enterprise Bancorp,Banks,460.04M
EC,Ecopetrol,"Oil, Gas &amp; Consumable Fuels",26.83B
ECC,Eagle Point Credit Company,n/a,516.31M
ECL,Ecolab,Chemicals,63.13B
ECOL,US Ecology,Commercial Services &amp; Supplies,1.07B
ECOM,ChannelAdvisor,Software,726.28M
ECOR,electroCore,Health Care Equipment &amp; Supplies,51.80M
ECPG,Encore Capital Group,Consumer Finance,1.72B
ECVT,Ecovyst,Specialty Chemicals,1.31B
ED,Consolidated Edison,Multi-Utilities,27.57B
EDAP,EDAP TMS,Health Care Equipment &amp; Supplies,191.07M
EDIT,Editas Medicine,Biotechnology,2.08B
EDN,Empresa Distribuidora y Comercializadora Norte,Electric Utilities,508.71M
EDNC,Endurance Acquisition,Blank Check / SPAC,244.25M
EDR,Endeavor Group Holdings,Entertainment,7.50B
EDRY,EuroDry,Marine,53.81M
EDSA,Edesa Biotech,Biotechnology,76.18M
EDTK,Skillful Craftsman Education Technology,Education &amp; Training Services,17.88M
EDTX,EdtechX Holdings Acquisition II,Blank Check / SPAC,144.04M
EDU,New Oriental Education &amp; Technology Group,Diversified Consumer Services,3.50B
EDUC,Educational Development,Distributors,79.33M
EEFT,Euronet Worldwide,IT Services,5.42B
EEIQ,Elite Education Group International,Diversified Consumer Services,31.18M
EEX,Emerald Holding,Media,260.90M
EFC,Ellington Financial,"Mortgage Real Estate Investment 
Trus...",946.98M
EFOI,Energy Focus,Electrical Equipment,11.14M
EFSC,Enterprise Financial Services,Banks,1.80B
EFTR,eFFECTOR Therapeutics,Biotechnology,242.63M
EFX,Equifax,Professional Services,34.00B
EGAN,eGain,Software,315.45M
EGBN,Eagle Bancorp,Banks,1.79B
EGGF,EG Acquisition,Blank Check / SPAC,275.62M
EGHT,"8x8, Inc.",Software,2.16B
EGLE,Eagle Bulk Shipping,Marine,530.59M
EGLX,Enthusiast Gaming Holdings,Electronic Gaming &amp; Multimedia,500.87M
EGO,Eldorado Gold,Metals &amp; Mining,1.60B
EGP,EastGroup Properties,"Equity Real Estate 
Investment Trusts...",8.28B
EGRX,Eagle Pharmaceuticals,Biotechnology,618.06M
EGY,VAALCO Energy,"Oil, Gas &amp; Consumable Fuels",173.49M
EH,EHang Holdings,Aerospace &amp; Defense,1.08B
EHC,Encompass Health,Health Care Providers &amp; Services,5.63B
EHTH,eHealth,Insurance,557.58M
EIC,Eagle Point Income Company,n/a,0
EIG,Employers Holdings,Insurance,1.08B
EIGR,Eiger BioPharmaceuticals,Biotechnology,196.04M
EIX,Edison International,Electric Utilities,24.93B
EJFA,EJF Acquisition,Blank Check / SPAC,357.58M
EJH,E-Home Household Service Holdings,Specialty Business Services,67.16M
EKSO,Ekso Bionics Holdings,Health Care Equipment &amp; Supplies,39.76M
EL,The Estee Lauder Companies,Personal Products,117.10B
ELA,Envela,Specialty Retail,107.97M
ELAN,Elanco Animal Health,Pharmaceuticals,13.31B
ELDN,Eledon Pharmaceuticals,Biotechnology,67.67M
ELEV,Elevation Oncology,Biotechnology,173.03M
ELF,e.l.f. Beauty,Personal Products,1.54B
ELLO,Ellomay Capital,Independent Power and Renewable Elect...,372.34M
ELMD,Electromed,Health Care Equipment &amp; Supplies,103.61M
ELMS,Electric Last Mile Solutions,Auto Manufacturers,972.38M
ELOX,Eloxx Pharmaceuticals,Pharmaceuticals,62.24M
ELP,Companhia Paranaense de Energia,Electric Utilities,14.45B
ELS,Equity LifeStyle Properties,"Equity Real Estate 
Investment Trusts...",14.79B
ELSE,Electro-Sensors,"Electronic Equipment, Instruments &amp; C...",21.87M
ELTK,Eltek,"Electronic Equipment, Instruments &amp; C...",26.17M
ELVT,Elevate Credit,Consumer Finance,96.73M
ELY,Callaway Golf Company,Leisure Products,5.01B
ELYM,Eliem Therapeutics,Biotechnology,360.61M
ELYS,Elys Game Technology,Gambling,81.54M
EM,Smart Share Global,Personal Services,521.32M
EMAN,eMagin,Semiconductors &amp; Semiconductor Equipment,121.38M
EMBK,Embark Technology,Shell Companies,3.59B
EMCF,Emclaire Financial,Banks,79.62M
EME,EMCOR Group,Construction &amp; Engineering,6.38B
EMKR,EMCORE,Communications Equipment,245.65M
EML,The Eastern Company,Machinery,156.25M
EMN,Eastman Chemical Company,Chemicals,13.81B
EMR,Emerson Electric Company,Electrical Equipment,51.63B
EMX,EMX Royalty,Metals &amp; Mining,249.19M
ENB,Enbridge,"Oil, Gas &amp; Consumable Fuels",75.56B
ENBL,Enable Midstream Partners LP,"Oil, Gas &amp; Consumable Fuels",3.03B
ENDP,Endo International,Pharmaceuticals,1.23B
ENFA,890 5th Avenue Partners,Blank Check / SPAC,367.15M
ENFN,Enfusion,Software-Application,2.22B
ENG,ENGlobal,Energy Equipment &amp; Services,59.50M
ENIA,Enel Americas,Electric Utilities,13.06B
ENIC,Enel Chile,Electric Utilities,2.88B
ENJY,Enjoy Technology,Specialty Retail,700.73M
ENLC,EnLink Midstream LLC,"Oil, Gas &amp; Consumable Fuels",3.15B
ENLV,Enlivex Therapeutics,Software,124.28M
ENNV,ECP Environmental Growth Opportunities,Blank Check / SPAC,428.23M
ENOB,Enochian Biosciences,Biotechnology,599.48M
ENPC,Executive Network Partnering,Shell Companies,437.18M
ENPH,Enphase Energy,Semiconductors &amp; Semiconductor Equipment,31.96B
ENR,Energizer Holdings,Household Products,2.49B
ENS,EnerSys,Electrical Equipment,3.05B
ENSC,Ensysce Biosciences,Biotechnology,35.66M
ENSG,The Ensign Group,Health Care Providers &amp; Services,4.13B
ENSV,Enservco,Energy Equipment &amp; Services,11.31M
ENTA,Enanta Pharmaceuticals,Biotechnology,1.71B
ENTG,Entegris,Semiconductors &amp; Semiconductor Equipment,20.15B
ENTX,Entera Bio,Biotechnology,94.41M
ENV,Envestnet,Software,4.15B
ENVA,Enova International,Consumer Finance,1.34B
ENVB,Enveric Biosciences,Biotechnology,38.29M
ENVI,Environmental Impact Acquisition,Blank Check / SPAC,257.20M
ENVX,Enovix,Electrical Equipment &amp; Parts,4.80B
ENZ,Enzo Biochem,Health Care Providers &amp; Services,163.83M
EOCW,Elliott Opportunity II,Blank Check / SPAC,644.52M
EOG,EOG Resources,"Oil, Gas &amp; Consumable Fuels",49.94B
EOLS,Evolus,Pharmaceuticals,305.12M
EOSE,Eos Energy Enterprises,Electrical Equipment &amp; Parts,486.51M
EPAC,Enerpac Tool Group,Machinery,1.27B
EPAM,EPAM Systems,IT Services,33.75B
EPAY,Bottomline Technologies,Software,2.00B
EPC,Edgewell Personal Care Company,Personal Products,2.26B
EPD,Enterprise Products Partners,"Oil, Gas &amp; Consumable Fuels",45.87B
EPHY,Epiphany Technology Acquisition,Blank Check / SPAC,500.39M
EPIX,ESSA Pharma,Biotechnology,524.73M
EPM,Evolution Petroleum,"Oil, Gas &amp; Consumable Fuels",168.16M
EPR,EPR Properties,"Equity Real Estate 
Investment Trusts...",3.27B
EPRT,Essential Properties Realty Trust,"Equity Real Estate 
Investment Trusts...",3.22B
EPSN,Epsilon Energy,"Oil, Gas &amp; Consumable Fuels",125.24M
EPWR,Empowerment &amp; Inclusion Capital I,Blank Check / SPAC,338.79M
EPZM,Epizyme,Biotechnology,303.89M
EQ,Equillium,Biotechnology,139.90M
EQBK,Equity Bancshares,Banks,553.72M
EQC,Equity Commonwealth,"Equity Real Estate 
Investment Trusts...",3.04B
EQD,Equity Distribution Acquisition,Blank Check / SPAC,508.70M
EQH,Equitable Holdings,Diversified Financial Services,12.73B
EQHA,EQ Health Acquisition,Blank Check / SPAC,268.68M
EQIX,Equinix,"Equity Real Estate 
Investment Trusts...",73.13B
EQNR,Equinor ASA,"Oil, Gas &amp; Consumable Fuels",82.11B
EQOS,EQONEX,Capital Markets,148.77M
EQR,Equity Residential,"Equity Real Estate 
Investment Trusts...",31.99B
EQS,Equus Total Return,Capital Markets,32.44M
EQT,EQT Corporation,"Oil, Gas &amp; Consumable Fuels",6.94B
EQX,Equinox Gold,Metals &amp; Mining,2.00B
ERAS,Erasca,Biotechnology,1.72B
ERES,East Resources Acquisition Co.,Blank Check / SPAC,426.51M
ERF,Enerplus,"Oil, Gas &amp; Consumable Fuels",2.38B
ERIC,Ericsson,Communications Equipment,33.37B
ERIE,Erie Indemnity Company,Insurance,9.70B
ERII,Energy Recovery,Machinery,1.17B
ERJ,Embraer,Aerospace &amp; Defense,2.38B
ERO,Ero Copper,Metals &amp; Mining,1.39B
ERYP,Erytech Pharma,Biotechnology,71.29M
ES,Eversource Energy,Electric Utilities,28.33B
ESBA,"Empire State Realty OP,","Equity Real Estate 
Investment Trusts...",2.61B
ESBK,Elmira Savings Bank,Thrifts &amp; Mortgage Finance,80.32M
ESCA,Escalade,Leisure Products,220.82M
ESE,ESCO Technologies,Machinery,2.17B
ESEA,Euroseas,Marine,171.78M
ESGC,Eros STX Global,Entertainment,132.55M
ESGR,Enstar Group,Insurance,4.15B
ESI,Element Solutions,Chemicals,5.66B
ESLT,Elbit Systems,Aerospace &amp; Defense,6.43B
ESM,ESM Acquisition,Blank Check / SPAC,374.85M
ESMT,EngageSmart,Software-Application,3.52B
ESNT,Essent Group,Thrifts &amp; Mortgage Finance,4.61B
ESP,Espey Manufacturing &amp; Electronics,Electrical Equipment,34.81M
