Symbol,Company Name,Industry,Market Cap
ADP,Automatic Data Processing,IT Services,95.60B
ADPT,Adaptive Biotechnologies,Life Sciences Tools &amp; Services,3.56B
ADRA,Adara Acquisition,Blank Check / SPAC,141.45M
ADS,Alliance Data Systems,IT Services,3.39B
ADSK,Autodesk,Software,54.89B
ADT,ADT Inc.,Commercial Services &amp; Supplies,6.71B
ADTN,ADTRAN,Communications Equipment,992.10M
ADTX,Aditx,Biotechnology,22.08M
ADUS,Addus HomeCare,Health Care Providers &amp; Services,1.36B
ADV,Advantage Solutions,Advertising Agencies,2.21B
ADVM,Adverum Biotechnologies,Biotechnology,171.77M
ADXN,Addex Therapeutics,Biotechnology,41.13M
ADXS,Advaxis,Biotechnology,50.16M
AE,Adams Resources &amp; Energy,"Oil, Gas &amp; Consumable Fuels",117.15M
AEAC,Authentic Equity Acquisition,Blank Check / SPAC,293.10M
AEE,Ameren,Multi-Utilities,21.18B
AEG,Aegon,Insurance,8.91B
AEHA,Aesther Healthcare Acquisition,Blank Check / SPAC,125.87M
AEHL,Antelope Enterprise Holdings,Building Products &amp; Equipment,12.17M
AEHR,Aehr Test Systems,Semiconductors &amp; Semiconductor Equipment,408.45M
AEI,Alset EHome International,Real Estate-Development,61.27M
AEIS,Advanced Energy Industries,Semiconductors &amp; Semiconductor Equipment,3.34B
AEL,American Equity Investment Life Holding Company,Insurance,3.14B
AEM,Agnico Eagle Mines,Metals &amp; Mining,11.81B
AEMD,Aethlon Medical,Health Care Equipment &amp; Supplies,35.26M
AENZ,Aenza,Engineering &amp; Construction,286.87M
AEO,American Eagle Outfitters,Specialty Retail,4.36B
AEP,American Electric Power Company,Electric Utilities,39.85B
AER,AerCap Holdings,Trading Companies &amp; Distributors,13.35B
AERC,AeroClean Technologies,Pollution &amp; Treatment Controls,230.27M
AERI,Aerie Pharmaceuticals,Pharmaceuticals,468.37M
AES,The AES Corporation,Independent Power and Renewable Elect...,15.72B
AESE,Allied Esports Entertainment,"Hotels, Restaurants &amp; Leisure",72.80M
AEVA,Aeva Technologies,Auto Parts,2.11B
AEY,ADDvantage Technologies Group,"Electronic Equipment, Instruments &amp; C...",22.90M
AEYE,AudioEye,Software,90.84M
AEZS,AEterna Zentaris,Biotechnology,54.63M
AFAQ,AF Acquisition,Blank Check / SPAC,273.00M
AFBI,Affinity Bancshares,Banks,100.96M
AFCG,AFC Gamma,REIT-Specialty,346.61M
AFG,American Financial Group,Insurance,11.27B
AFI,Armstrong Flooring,Building Products,40.16M
AFIB,Acutus Medical,Medical Devices,86.65M
AFIN,American Finance Trust,"Equity Real Estate 
Investment Trusts...",973.23M
AFL,Aflac,Insurance,35.82B
AFMD,Affimed,Biotechnology,808.63M
AFRM,Affirm Holdings,IT Services,32.76B
AFTR,AfterNext HealthTech Acquisition,Blank Check / SPAC,303.75M
AFYA,Afya Limited,Diversified Consumer Services,1.29B
AG,First Majestic Silver,Metals &amp; Mining,3.07B
AGAC,African Gold Acquisition,Blank Check / SPAC,504.04M
AGBA,AGBA Acquisition,Blank Check / SPAC,58.83M
AGC,Altimeter Growth,Blank Check / SPAC,688.12M
AGCB,Altimeter Growth 2,Blank Check / SPAC,586.84M
AGCO,AGCO Corporation,Machinery,8.25B
AGE,AgeX Therapeutics,Biotechnology,25.08M
AGEN,Agenus,Biotechnology,765.36M
AGFS,AgroFresh Solutions,Chemicals,94.22M
AGFY,Agrify,Machinery,302.69M
AGGR,Agile Growth,Blank Check / SPAC,378.59M
AGI,Alamos Gold,Metals &amp; Mining,2.93B
AGIL,AgileThought,Software-Application,368.05M
AGIO,Agios Pharmaceuticals,Biotechnology,1.90B
AGL,agilon health,Medical Care Facilities,8.86B
AGLE,Aeglea Biotherapeutics,Biotechnology,294.93M
AGM,Federal Agricultural Mortgage,Thrifts &amp; Mortgage Finance,1.29B
AGM.A,Federal Agricultural Mortgage,Credit Services,1.31B
AGMH,AGM Group Holdings,Capital Markets,197.97M
AGNC,AGNC Investment,"Mortgage Real Estate Investment 
Trus...",8.03B
AGO,Assured Guaranty,Insurance,3.36B
AGR,Avangrid,Electric Utilities,19.69B
AGRI,AgriFORCE Growing Systems,Farm Products,31.92M
AGRO,Adecoagro,Food Products,863.21M
AGRX,Agile Therapeutics,Pharmaceuticals,77.28M
AGS,PlayAGS,"Hotels, Restaurants &amp; Leisure",249.64M
AGTC,Applied Genetic Technologies,Biotechnology,89.16M
AGTI,Agiliti,Health Information Services,2.75B
AGX,Argan,Construction &amp; Engineering,610.12M
AGYS,Agilysys,Software,1.06B
AHCO,AdaptHealth,Health Care Providers &amp; Services,2.44B
AHH,Armada Hoffler Properties,"Equity Real Estate 
Investment Trusts...",850.00M
AHI,Advanced Human Imaging,Software-Application,42.82M
AHPA,Avista Public Acquisition II,Blank Check / SPAC,287.50M
AHPI,Allied Healthcare Products,Health Care Equipment &amp; Supplies,28.78M
AHT,Ashford Hospitality Trust,"Equity Real Estate 
Investment Trusts...",319.93M
AI,C3.ai,Software,3.52B
AIG,American International Group,Insurance,42.94B
AIH,Aesthetic Medical International Holdings Group,Health Care Providers &amp; Services,61.35M
AIHS,Senmiao Technology,Consumer Finance,32.53M
AIKI,AIkido Pharma,Biotechnology,61.87M
AIM,AIM ImmunoTech,Biotechnology,67.47M
AIMC,Altra Industrial Motion,Machinery,3.38B
AIN,Albany International,Machinery,2.57B
AINC,Ashford,Capital Markets,55.07M
AINV,Apollo Investment,Capital Markets,830.82M
AIP,Arteris,Semiconductors &amp; Semiconductor Equipment,675.52M
AIR,AAR Corp.,Aerospace &amp; Defense,1.13B
AIRC,Apartment Income REIT,"Equity Real Estate 
Investment Trusts...",7.97B
AIRG,Airgain,"Electronic Equipment, Instruments &amp; C...",96.01M
AIRI,Air Industries Group,Aerospace &amp; Defense,29.29M
AIRS,AirSculpt Technologies,Medical Care Facilities,568.64M
AIRT,Air T,Air Freight &amp; Logistics,77.13M
